,threshold,tradeoff,bws,sample_weight,trial,distance
0,1.0,0.1,40.0,500,1,67.55091094970703
1,1.0,0.1,40.0,500,2,48.96654510498047
2,1.0,0.1,40.0,500,3,26.212051391601562
3,1.0,0.1,40.0,500,4,36.76209259033203
4,1.0,0.1,40.0,500,5,68.69091033935547
5,1.0,0.1,40.0,500,6,45.681983947753906
6,1.0,0.1,40.0,500,7,52.20905303955078
7,1.0,0.1,40.0,500,8,57.67362976074219
8,1.0,0.1,40.0,500,9,33.527565002441406
9,1.0,0.1,40.0,500,10,69.12689971923828
10,1.0,0.1,40.0,500,11,61.54532241821289
11,1.0,0.1,40.0,500,12,49.47208023071289
12,1.0,0.1,40.0,500,13,36.88404846191406
13,1.0,0.1,40.0,500,14,47.028934478759766
14,1.0,0.1,40.0,500,15,66.20694732666016
15,1.0,0.1,40.0,500,16,77.32810974121094
16,1.0,0.1,40.0,500,17,52.37711715698242
17,1.0,0.1,40.0,500,18,78.9595947265625
18,1.0,0.1,40.0,500,19,36.2501220703125
19,1.0,0.1,40.0,500,20,35.49676513671875
20,1.0,0.1,40.0,500,21,52.14906692504883
21,1.0,0.1,40.0,500,22,45.35380172729492
22,1.0,0.1,40.0,500,23,50.32716751098633
23,1.0,0.1,40.0,500,24,41.14773941040039
24,1.0,0.1,40.0,500,25,54.260772705078125
25,1.0,0.1,40.0,500,26,86.27864837646484
26,1.0,0.1,40.0,500,27,40.67608642578125
27,1.0,0.1,40.0,500,28,91.20005798339844
28,1.0,0.1,40.0,500,29,53.53298568725586
29,1.0,0.1,40.0,500,30,54.4818000793457
30,1.0,0.1,40.0,500,31,51.75056076049805
31,1.0,0.1,40.0,500,32,74.87776184082031
32,1.0,0.1,40.0,500,33,66.83438110351562
33,1.0,0.1,40.0,500,34,34.05510330200195
34,1.0,0.1,40.0,500,35,87.08142852783203
35,1.0,0.1,40.0,500,36,46.497314453125
36,1.0,0.1,40.0,500,37,51.661155700683594
37,1.0,0.1,40.0,500,38,49.74448776245117
38,1.0,0.1,40.0,500,39,51.87301254272461
39,1.0,0.1,40.0,500,40,45.64031219482422
40,1.0,0.1,40.0,500,41,45.7644157409668
41,1.0,0.1,40.0,500,42,45.78982925415039
42,1.0,0.1,40.0,500,43,53.47032928466797
