,threshold,tradeoff,bws,sample_weight,trial,distance
0,1.0,0.001,40.0,500,1,78.85780334472656
1,1.0,0.001,40.0,500,2,89.26156616210938
2,1.0,0.001,40.0,500,3,22.917314529418945
3,1.0,0.001,40.0,500,4,31.95772361755371
4,1.0,0.001,40.0,500,5,66.75979614257812
5,1.0,0.001,40.0,500,6,45.75041961669922
6,1.0,0.001,40.0,500,7,57.47537612915039
7,1.0,0.001,40.0,500,8,67.41250610351562
8,1.0,0.001,40.0,500,9,32.631141662597656
9,1.0,0.001,40.0,500,10,73.54186248779297
10,1.0,0.001,40.0,500,11,45.51018524169922
11,1.0,0.001,40.0,500,12,66.37652587890625
12,1.0,0.001,40.0,500,13,29.960832595825195
13,1.0,0.001,40.0,500,14,43.3524284362793
14,1.0,0.001,40.0,500,15,77.42242431640625
15,1.0,0.001,40.0,500,16,68.59039306640625
16,1.0,0.001,40.0,500,17,82.93891906738281
17,1.0,0.001,40.0,500,18,76.39844512939453
18,1.0,0.001,40.0,500,19,26.844635009765625
19,1.0,0.001,40.0,500,20,45.98109436035156
20,1.0,0.001,40.0,500,21,53.36541748046875
21,1.0,0.001,40.0,500,22,42.59768295288086
22,1.0,0.001,40.0,500,23,50.2267951965332
23,1.0,0.001,40.0,500,24,46.19363021850586
24,1.0,0.001,40.0,500,25,53.8252067565918
25,1.0,0.001,40.0,500,26,80.0167465209961
26,1.0,0.001,40.0,500,27,29.870065689086914
27,1.0,0.001,40.0,500,28,63.736934661865234
28,1.0,0.001,40.0,500,29,55.880340576171875
29,1.0,0.001,40.0,500,30,55.07141876220703
30,1.0,0.001,40.0,500,31,98.34770202636719
31,1.0,0.001,40.0,500,32,52.37968063354492
32,1.0,0.001,40.0,500,33,90.66513061523438
33,1.0,0.001,40.0,500,34,38.462825775146484
34,1.0,0.001,40.0,500,35,88.57852172851562
35,1.0,0.001,40.0,500,36,46.16850280761719
36,1.0,0.001,40.0,500,37,51.195499420166016
37,1.0,0.001,40.0,500,38,50.636959075927734
38,1.0,0.001,40.0,500,39,66.18586730957031
39,1.0,0.001,40.0,500,40,42.33220291137695
40,1.0,0.001,40.0,500,41,46.838356018066406
41,1.0,0.001,40.0,500,42,38.18446350097656
42,1.0,0.001,40.0,500,43,46.625572204589844
43,1.0,0.001,40.0,500,44,45.45571517944336
44,1.0,0.001,40.0,500,45,45.12550354003906
45,1.0,0.001,40.0,500,46,27.54006004333496
46,1.0,0.001,40.0,500,47,57.338375091552734
47,1.0,0.001,40.0,500,48,46.3779182434082
48,1.0,0.001,40.0,500,49,36.27811813354492
49,1.0,0.001,40.0,500,50,45.409507751464844
50,1.0,0.001,40.0,500,51,59.44857406616211
51,1.0,0.001,40.0,500,52,54.474552154541016
52,1.0,0.001,40.0,500,53,32.13330841064453
53,1.0,0.001,40.0,500,54,49.15679931640625
54,1.0,0.001,40.0,500,55,47.234134674072266
55,1.0,0.001,40.0,500,56,44.41752624511719
56,1.0,0.001,40.0,500,57,62.86822509765625
57,1.0,0.001,40.0,500,58,44.252132415771484
58,1.0,0.001,40.0,500,59,37.296810150146484
59,1.0,0.001,40.0,500,60,40.14614486694336
60,1.0,0.001,40.0,500,61,84.35566711425781
61,1.0,0.001,40.0,500,62,26.382963180541992
62,1.0,0.001,40.0,500,63,77.0117416381836
63,1.0,0.001,40.0,500,64,49.0533561706543
64,1.0,0.001,40.0,500,65,38.28042984008789
65,1.0,0.001,40.0,500,66,56.28249740600586
66,1.0,0.001,40.0,500,67,32.2313346862793
67,1.0,0.001,40.0,500,68,50.130340576171875
68,1.0,0.001,40.0,500,69,34.268497467041016
69,1.0,0.001,40.0,500,70,53.206199645996094
70,1.0,0.001,40.0,500,71,52.26603698730469
71,1.0,0.001,40.0,500,72,35.61178207397461
72,1.0,0.001,40.0,500,73,63.66872024536133
73,1.0,0.001,40.0,500,74,46.391117095947266
74,1.0,0.001,40.0,500,75,36.07278823852539
75,1.0,0.001,40.0,500,76,51.471336364746094
76,1.0,0.001,40.0,500,77,102.39342498779297
77,1.0,0.001,40.0,500,78,49.73177719116211
78,1.0,0.001,40.0,500,79,37.83774185180664
79,1.0,0.001,40.0,500,80,88.40848541259766
80,1.0,0.001,40.0,500,81,38.21417999267578
81,1.0,0.001,40.0,500,82,36.38688659667969
82,1.0,0.001,40.0,500,84,52.705238342285156
83,1.0,0.001,40.0,500,85,42.91767501831055
84,1.0,0.001,40.0,500,86,60.91256332397461
85,1.0,0.001,40.0,500,90,55.21028518676758
86,1.0,0.001,40.0,500,91,39.839569091796875
87,1.0,0.001,40.0,500,93,32.04879379272461
88,1.0,0.001,40.0,500,94,33.962547302246094
89,1.0,0.001,40.0,500,97,72.22779083251953
90,1.0,0.001,40.0,500,98,45.05875015258789
91,1.0,0.001,40.0,500,99,52.62697219848633
92,1.0,0.001,40.0,500,100,66.46363830566406
93,1.0,0.001,40.0,500,102,64.2040786743164
94,1.0,0.001,40.0,500,103,42.551429748535156
95,1.0,0.001,40.0,500,106,63.72480773925781
96,1.0,0.001,40.0,500,107,59.41154861450195
97,1.0,0.001,40.0,500,109,53.73505401611328
98,1.0,0.001,40.0,500,111,103.29232788085938
99,1.0,0.001,40.0,500,112,47.24309539794922
100,1.0,0.001,40.0,500,113,43.861202239990234
101,1.0,0.001,40.0,500,114,39.926395416259766
102,1.0,0.001,40.0,500,115,53.187889099121094
103,1.0,0.001,40.0,500,118,62.002079010009766
104,1.0,0.001,40.0,500,121,28.315284729003906
105,1.0,0.001,40.0,500,122,46.88447189331055
106,1.0,0.001,40.0,500,123,51.00143814086914
107,1.0,0.001,40.0,500,126,56.72654724121094
108,1.0,0.001,40.0,500,127,44.08482360839844
109,1.0,0.001,40.0,500,129,56.68766403198242
110,1.0,0.001,40.0,500,132,37.34469985961914
111,1.0,0.001,40.0,500,133,44.71834182739258
112,1.0,0.001,40.0,500,139,39.71970748901367
113,1.0,0.001,40.0,500,140,78.30620574951172
114,1.0,0.001,40.0,500,142,40.82530212402344
115,1.0,0.001,40.0,500,143,53.68491744995117
116,1.0,0.001,40.0,500,144,40.37934112548828
117,1.0,0.001,40.0,500,145,40.269920349121094
118,1.0,0.001,40.0,500,148,57.494468688964844
119,1.0,0.001,40.0,500,149,36.764156341552734
120,1.0,0.001,40.0,500,154,59.986637115478516
121,1.0,0.001,40.0,500,156,59.287261962890625
122,1.0,0.001,40.0,500,158,37.58616638183594
123,1.0,0.001,40.0,500,163,31.5089054107666
124,1.0,0.001,40.0,500,166,38.62419509887695
125,1.0,0.001,40.0,500,170,46.86865997314453
126,1.0,0.001,40.0,500,173,62.66081237792969
127,1.0,0.001,40.0,500,179,39.63054656982422
128,1.0,0.001,40.0,500,183,51.37742614746094
129,1.0,0.001,40.0,500,186,37.21356201171875
130,1.0,0.001,40.0,500,190,41.59526824951172
131,1.0,0.001,40.0,500,192,26.345727920532227
132,1.0,0.001,40.0,500,196,60.4821662902832
133,1.0,0.001,40.0,500,207,36.81370162963867
134,1.0,0.001,40.0,500,210,54.30849075317383
135,1.0,0.001,40.0,500,214,34.326629638671875
136,1.0,0.001,40.0,500,215,29.860885620117188
137,1.0,0.001,40.0,500,223,28.24522590637207
138,1.0,0.001,40.0,500,254,37.118507385253906
139,1.0,0.001,40.0,500,283,89.49049377441406
140,1.0,0.001,40.0,500,289,67.61246490478516
141,1.0,0.001,40.0,500,297,48.316162109375
142,1.0,0.001,40.0,500,302,31.070556640625
143,1.0,0.001,40.0,500,306,56.07951736450195
144,1.0,0.001,40.0,500,307,55.91697311401367
145,1.0,0.001,40.0,500,316,50.28911209106445
146,1.0,0.001,40.0,500,319,40.33393478393555
147,1.0,0.001,40.0,500,326,46.913673400878906
148,1.0,0.001,40.0,500,332,47.178585052490234
149,1.0,0.001,40.0,500,380,47.90082931518555
