,trial,run,judgment,num_cols
0,1,0,1,3
1,1,1,1,10
2,1,2,1,5
3,1,3,1,5
4,1,4,1,4
5,1,5,1,4
6,1,6,1,4
7,1,7,1,10
8,1,8,1,8
9,1,9,1,6
10,1,10,1,5
11,1,11,1,4
12,1,12,1,5
13,1,13,1,10
14,1,14,1,4
15,1,15,1,7
16,1,16,1,8
17,1,17,1,4
18,1,18,1,3
19,1,19,1,4
20,1,20,1,3
21,1,21,1,4
22,1,22,1,3
23,1,23,1,6
24,1,24,1,3
25,1,25,1,6
26,1,26,1,5
27,1,27,1,5
28,1,28,1,10
29,1,29,1,7
30,2,0,1,100
31,2,1,1,100
32,2,2,1,100
33,2,3,1,100
34,2,4,1,100
35,2,5,2,7
36,2,6,1,100
37,2,7,1,100
38,2,8,1,100
39,2,9,1,56
40,2,10,1,100
41,2,11,1,100
42,2,12,1,100
43,2,13,1,100
44,2,14,1,100
45,2,15,1,100
46,2,16,1,100
47,2,17,1,100
48,2,18,2,7
49,2,19,1,100
50,2,20,1,100
51,2,21,1,100
52,2,22,1,100
53,2,23,1,100
54,2,24,1,100
55,2,25,1,100
56,2,26,1,100
57,2,27,1,100
58,2,28,1,100
59,2,29,1,100
60,3,0,1,6
61,3,1,1,4
62,3,2,1,3
63,3,3,1,3
64,3,4,1,6
65,3,5,1,4
66,3,6,1,6
67,3,7,1,5
68,3,8,1,3
69,3,9,1,7
70,3,10,1,6
71,3,11,1,4
72,3,12,1,8
73,3,13,1,4
74,3,14,1,3
75,3,15,1,4
76,3,16,1,3
77,3,17,1,3
78,3,18,1,5
79,3,19,1,6
80,3,20,1,5
81,3,21,1,5
82,3,22,1,5
83,3,23,1,3
84,3,24,1,3
85,3,25,1,7
86,3,26,1,3
87,3,27,1,4
88,3,28,1,3
89,3,29,1,3
90,4,0,2,4
91,4,1,2,4
92,4,2,2,4
93,4,3,2,5
94,4,4,2,4
95,4,5,2,4
96,4,6,2,4
97,4,7,2,6
98,4,8,2,5
99,4,9,2,8
100,4,10,2,3
101,4,11,2,3
102,4,12,2,3
103,4,13,2,3
104,4,14,2,7
105,4,15,2,6
106,4,16,2,5
107,4,17,2,4
108,4,18,2,4
109,4,19,2,6
110,4,20,2,5
111,4,21,2,3
112,4,22,2,3
