,trial,run,judgment,num_sims,num_looks
0,1,0,1,1,0
1,1,1,1,1,1
2,1,2,1,1,1
3,1,3,1,1,1
4,1,4,1,1,1
5,1,5,1,1,2
6,1,6,1,1,1
7,1,7,1,1,1
8,1,8,1,1,0
9,1,9,1,1,1
10,1,10,1,1,2
11,1,11,1,1,0
12,1,12,1,1,1
13,1,13,1,1,1
14,1,14,1,1,1
15,1,15,1,1,2
16,1,16,1,1,2
17,1,17,1,1,1
18,1,18,1,1,1
19,1,19,1,1,1
20,1,20,1,1,0
21,1,21,1,1,1
22,1,22,1,1,1
23,1,23,1,1,1
24,1,24,1,1,2
25,1,25,1,1,1
26,1,26,1,1,1
27,1,27,1,1,1
28,1,28,1,1,0
29,1,29,1,1,2
30,2,0,2,3,5
31,2,1,1,2,3
32,2,2,2,2,2
33,2,3,1,1,1
34,2,4,2,2,5
35,2,5,2,2,4
36,2,6,2,2,3
37,2,7,2,2,3
38,2,8,2,2,1
39,2,9,1,1,1
40,2,10,1,1,1
41,2,11,2,2,2
42,2,12,2,2,4
43,2,13,1,1,2
44,2,14,2,2,3
45,2,15,1,1,2
46,2,16,2,2,2
47,2,17,1,1,1
48,2,18,2,2,4
49,2,19,1,1,1
50,2,20,1,1,1
51,2,21,1,2,3
52,2,22,2,2,4
53,2,23,1,2,2
54,2,24,1,1,1
55,2,25,2,2,2
56,2,26,1,2,4
57,2,27,1,1,0
58,2,28,1,1,1
59,2,29,2,2,3
60,3,0,1,1,1
61,3,1,1,1,0
62,3,2,1,1,2
63,3,3,1,1,1
64,3,4,1,1,2
65,3,5,1,1,0
66,3,6,1,1,0
67,3,7,1,1,1
68,3,8,1,1,1
69,3,9,1,1,1
70,3,10,1,1,0
71,3,11,1,1,2
72,3,12,1,1,0
73,3,13,1,1,1
74,3,14,1,1,1
75,3,15,1,1,0
76,3,16,1,1,1
77,3,17,1,1,1
78,3,18,1,1,1
79,3,19,1,1,1
80,3,20,1,1,1
81,3,21,1,1,2
82,3,22,1,1,1
83,3,23,1,1,2
84,3,24,1,1,0
85,3,25,1,1,1
86,3,26,1,1,1
87,3,27,1,1,0
88,3,28,1,1,1
89,3,29,1,1,1
90,4,0,2,1,2
91,4,1,2,1,2
92,4,2,2,1,2
93,4,3,2,1,0
94,4,4,2,1,0
95,4,5,2,2,3
96,4,6,2,1,0
97,4,7,2,1,2
98,4,8,2,1,1
99,4,9,2,1,0
100,4,10,2,1,1
101,4,11,2,1,1
102,4,12,2,1,0
103,4,13,2,1,1
104,4,14,2,1,2
105,4,15,2,1,0
106,4,16,2,1,1
107,4,17,2,1,0
108,4,18,2,1,1
109,4,19,2,1,2
110,4,20,2,1,0
111,4,21,2,1,1
112,4,22,2,1,2
113,4,23,2,1,1
114,4,24,2,1,0
115,4,25,2,1,1
116,4,26,2,1,2
117,4,27,2,1,0
118,4,28,2,1,0
119,4,29,2,1,0
120,5,0,1,3,3
121,5,1,1,3,6
122,5,2,2,2,3
123,5,3,1,3,5
124,5,4,1,4,6
125,5,5,1,4,10
126,5,6,1,3,6
127,5,7,2,1,1
128,5,8,1,6,12
129,5,9,1,3,5
130,5,10,1,3,5
131,5,11,1,3,5
132,5,12,1,3,3
133,5,13,1,3,3
134,5,14,2,2,3
135,5,15,2,2,2
136,5,16,2,2,3
137,5,17,2,2,5
138,5,18,1,3,9
139,5,19,1,3,5
140,5,20,1,3,8
141,5,21,1,3,7
142,5,22,1,3,6
143,5,23,1,3,4
144,5,24,1,4,9
145,5,25,1,3,4
146,5,26,1,3,7
147,5,27,2,2,4
148,5,28,1,4,8
149,5,29,2,3,7
150,6,0,0,1,4
151,6,1,0,1,2
152,6,2,0,1,3
153,6,3,0,3,6
154,6,4,0,1,2
155,6,5,0,1,2
156,6,6,0,1,3
157,6,7,0,1,3
158,6,8,0,1,4
159,6,9,0,1,0
160,6,10,0,1,2
161,6,11,0,1,3
162,6,12,0,1,2
163,6,13,0,1,3
164,6,14,0,1,4
165,6,15,1,3,6
166,6,16,0,1,3
