,trial,run,judgment,num_sims,num_looks
0,1,0,1,1,1
1,1,1,1,1,2
2,1,2,1,1,0
3,1,3,1,1,1
4,1,4,1,1,2
5,1,5,1,1,2
6,1,6,1,1,0
7,1,7,1,1,0
8,1,8,1,1,1
9,1,9,1,1,1
10,1,10,1,1,1
11,1,11,1,1,1
12,1,12,1,1,2
13,1,13,1,1,1
14,1,14,1,1,1
15,1,15,1,1,2
16,1,16,1,1,0
17,1,17,1,1,0
18,1,18,1,1,1
19,1,19,1,1,1
20,1,20,1,1,1
21,1,21,1,1,0
22,1,22,1,1,1
23,1,23,1,1,1
24,1,24,1,1,1
25,1,25,1,1,0
26,1,26,1,1,1
27,1,27,1,1,0
28,1,28,1,1,1
29,1,29,1,1,1
30,2,0,2,2,3
31,2,1,1,1,1
32,2,2,2,2,2
33,2,3,1,1,1
34,2,4,2,2,3
35,2,5,2,2,3
36,2,6,2,2,3
37,2,7,1,2,3
38,2,8,1,2,3
39,2,9,1,1,0
40,2,10,1,1,1
41,2,11,1,3,3
42,2,12,1,1,0
43,2,13,1,2,3
44,2,14,2,2,2
45,2,15,2,2,3
46,2,16,2,2,3
47,2,17,1,4,6
48,2,18,1,1,1
49,2,19,1,1,1
50,2,20,1,1,1
51,2,21,1,2,2
52,2,22,1,1,2
53,2,23,2,2,2
54,2,24,2,3,6
55,2,25,1,2,2
56,2,26,1,1,2
57,2,27,1,1,2
58,2,28,2,2,1
59,2,29,1,2,4
60,3,0,1,1,2
61,3,1,1,1,0
62,3,2,1,1,1
63,3,3,1,1,1
64,3,4,1,1,0
65,3,5,1,1,2
66,3,6,1,1,0
67,3,7,1,1,1
68,3,8,1,1,1
69,3,9,1,1,0
70,3,10,1,1,0
71,3,11,1,1,0
72,3,12,1,1,0
73,3,13,1,1,1
74,3,14,1,1,2
75,3,15,1,1,1
76,3,16,1,1,1
77,3,17,1,1,1
78,3,18,1,1,1
79,3,19,1,1,0
80,3,20,1,1,1
81,3,21,1,1,0
82,3,22,1,1,1
83,3,23,1,1,1
84,3,24,1,2,3
85,3,25,1,1,1
86,3,26,1,1,1
87,3,27,1,1,1
88,3,28,1,1,2
89,3,29,1,1,0
